crn,catalog_id,section,credits,title,meetings,primary_instructor
75881,RS 0101C,F,3.000,"Exploring Religion: Common Questions, Traditional Response","[{'days': 'MR', 'times': '0630pm-0745pm', 'dates': '09/01-12/07', 'location': 'JGS 25'}]",Daniel B.  Cosacchi
76306,RS 0101C,G,3.000,"Exploring Religion: Common Questions, Traditional Response","[{'days': 'TR', 'times': '0500pm-0615pm', 'dates': '09/01-12/07', 'location': 'CNS 106'}]",Samuel J.  Ross
76307,RS 0101C,H,3.000,"Exploring Religion: Common Questions, Traditional Response","[{'days': 'TR', 'times': '0630pm-0745pm', 'dates': '09/01-12/07', 'location': 'CNS 106'}]",Samuel J.  Ross
77018,RS 0101C,I,3.000,"Exploring Religion: Common Questions, Traditional Response","[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '09/01-12/07', 'location': 'JGS 25'}]",Daniel B.  Cosacchi
75565,RS 0101D,A,3.000,Exploring Religion: Religion in a Comparative Key,"[{'days': 'MR', 'times': '0930am-1020am', 'dates': '09/01-12/07', 'location': 'DMH 348'}, {'days': 'W', 'times': '0900am-0950am', 'dates': '09/01-12/07', 'location': 'DMH 348'}]",John E.  Thiel
75566,RS 0101D,B,3.000,Exploring Religion: Religion in a Comparative Key,"[{'days': 'MR', 'times': '1230pm-0120pm', 'dates': '09/01-12/07', 'location': 'DMH 348'}, {'days': 'W', 'times': '1200pm-1250pm', 'dates': '09/01-12/07', 'location': 'DMH 348'}]",John E.  Thiel
76127,RS 0101D,C,3.000,Exploring Religion: Religion in a Comparative Key,"[{'days': 'MWR', 'times': '0200pm-0250pm', 'dates': '09/01-12/07', 'location': 'DMH 348'}]",John E.  Thiel
76308,RS 0101D,D,3.000,Exploring Religion: Religion in a Comparative Key,"[{'days': 'TR', 'times': '0500pm-0615pm', 'dates': '09/01-12/07', 'location': 'DMH 347'}]",Erik J.  Ranstrom
76309,RS 0101D,E,3.000,Exploring Religion: Religion in a Comparative Key,"[{'days': 'TR', 'times': '0630pm-0745pm', 'dates': '09/01-12/07', 'location': 'CNS 1'}]",Erik J.  Ranstrom
77020,RS 0101E,01,3.000,"Exploring Religion: Peoples of the Book, Sacred Texts, and Their Communities","[{'days': '\xa0', 'times': 'TBA', 'dates': '09/14-10/30', 'location': 'ONLINE '}]",Jeremy L.  Sabella
75567,RS 0101E,A,3.000,"Exploring Religion: Peoples of the Book, Sacred Texts, and Their Communities","[{'days': 'TF', 'times': '0930am-1045am', 'dates': '09/01-12/07', 'location': 'DMH 350'}]",Hugh M.  Humphrey
75568,RS 0101E,B,3.000,"Exploring Religion: Peoples of the Book, Sacred Texts, and Their Communities","[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '09/01-12/07', 'location': 'CNS 303'}]",Jason M.H.  Gaines
76976,RS 0101E,C,3.000,"Exploring Religion: Peoples of the Book, Sacred Texts, and Their Communities","[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '09/01-12/07', 'location': 'CNS 303'}]",Jason M.H.  Gaines
77061,RS 0101E,D,3.000,"Exploring Religion: Peoples of the Book, Sacred Texts, and Their Communities","[{'days': 'MW', 'times': '0500pm-0615pm', 'dates': '09/01-12/07', 'location': 'BNW 137'}]",Vanessa J.  Avery
77062,RS 0101E,E,3.000,"Exploring Religion: Peoples of the Book, Sacred Texts, and Their Communities","[{'days': 'MW', 'times': '0630pm-0745pm', 'dates': '09/01-12/07', 'location': 'BNW 137'}]",Vanessa J.  Avery
76987,RS 0205,A,3.000,Women in the Bible,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '09/01-12/07', 'location': 'MCA 206'}]",Shana S.  Zaia
75571,RS 0209,A,3.000,Jewish Interpretations of Scriptures,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '09/01-12/07', 'location': 'CNS 9'}]",James   Prosnit
