term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,cap,act,rem
Spring2017,31652,AC 0560,02,3.000,Audit Issues in a Global Environment,"[{'days': 'S', 'times': '0930am-0600pm', 'dates': '03/25-03/25', 'location': 'DSB 111'}, {'days': 'T', 'times': '0155pm-0455pm', 'dates': '03/28-05/09', 'location': 'DSB 105'}, {'days': 'S', 'times': '0930am-0600pm', 'dates': '04/01-04/01', 'location': 'DSB 111'}, {'days': 'S', 'times': '0930am-0600pm', 'dates': '04/22-04/22', 'location': 'DSB 111'}]","['S 0930am-0600pm 03/25-03/25 DSB 111', 'T 0155pm-0455pm 03/28-05/09 DSB 105', 'S 0930am-0600pm 04/01-04/01 DSB 111', 'S 0930am-0600pm 04/22-04/22 DSB 111']",Paul   Caster,15,18,-3
Spring2017,32744,AC 0585B,01,3.000,Special Topics Seminar: Forensic Accounting,"[{'days': 'W', 'times': '0400pm-0600pm', 'dates': '03/29-03/29', 'location': 'DSB 112'}, {'days': 'T', 'times': '0600pm-1000pm', 'dates': '04/04-04/04', 'location': 'DSB 110B'}, {'days': 'W', 'times': '0930am-0530pm', 'dates': '04/05-04/05', 'location': 'DSB 110B'}, {'days': 'R', 'times': '0200pm-0800pm', 'dates': '04/06-04/06', 'location': 'DSB 105'}, {'days': 'W', 'times': '0400pm-0600pm', 'dates': '04/12-04/12', 'location': 'DSB 112'}, {'days': 'W', 'times': '0930am-0530pm', 'dates': '04/19-04/19', 'location': 'DSB 110B'}, {'days': 'W', 'times': '0400pm-0600pm', 'dates': '04/26-04/26', 'location': 'DSB 112'}, {'days': 'T', 'times': '0600pm-1000pm', 'dates': '05/02-05/02', 'location': 'DSB 110B'}, {'days': 'W', 'times': '0930am-0530pm', 'dates': '05/03-05/03', 'location': 'DSB 110B'}, {'days': 'R', 'times': '0200pm-0800pm', 'dates': '05/04-05/04', 'location': 'DSB 105'}, {'days': 'W', 'times': '0930am-0530pm', 'dates': '05/10-05/10', 'location': 'DSB 110B'}]","['W 0400pm-0600pm 03/29-03/29 DSB 112', 'T 0600pm-1000pm 04/04-04/04 DSB 110B', 'W 0930am-0530pm 04/05-04/05 DSB 110B', 'R 0200pm-0800pm 04/06-04/06 DSB 105', 'W 0400pm-0600pm 04/12-04/12 DSB 112', 'W 0930am-0530pm 04/19-04/19 DSB 110B', 'W 0400pm-0600pm 04/26-04/26 DSB 112', 'T 0600pm-1000pm 05/02-05/02 DSB 110B', 'W 0930am-0530pm 05/03-05/03 DSB 110B', 'R 0200pm-0800pm 05/04-05/04 DSB 105', 'W 0930am-0530pm 05/10-05/10 DSB 110B']",Victor E.  Hartman,20,24,-4
Spring2017,32998,AC 0598,DM,3.000,Independent Study in Accounting,[],[],Dawn W  Massey,0,1,-1
Spring2017,33066,AS 0399,PB,3.000,Independent Research Project,[],[],Peter L.  Bayers,0,2,-2
Spring2017,33119,AS 0404,EH,3.000,American Studies Graduate Project,[],[],Elizabeth   Hohl,0,1,-1
Spring2017,33047,AS 0404,JG,3.000,American Studies Graduate Project,[],[],Johanna   Garvey,0,1,-1
Spring2017,32787,AS 0484,01,3.000,Battle Over Family Values in American Politics,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '01/17-05/02', 'location': 'BNW 254'}]",['M 0630pm-0900pm 01/17-05/02 BNW 254'],Gwendoline M.  Alphonso,15,9,6
Spring2017,33073,AS 0499,JG,3.000,Independent Study,[],[],Johanna   Garvey,0,1,-1
Spring2017,32786,ASEN 0447,01,3.000,Poetry in America,"[{'days': 'T', 'times': '0500pm-0730pm', 'dates': '01/17-05/02', 'location': 'CNS 206'}]",['T 0500pm-0730pm 01/17-05/02 CNS 206'],Elizabeth A.  Petrino,15,8,7
Spring2017,33015,ASHI 0415,01,3.000,Inventing Themselves: African-American Women in U.S. History,"[{'days': 'R', 'times': '0500pm-0730pm', 'dates': '01/17-05/02', 'location': 'CNS 305'}]",['R 0500pm-0730pm 01/17-05/02 CNS 305'],Elizabeth   Hohl,1,1,0
Spring2017,31414,AY 0010,01,3.000,Introduction to Four-Field Anthropology,"[{'days': 'TR', 'times': '0500pm-0615pm', 'dates': '01/17-05/02', 'location': 'CNS 303'}]",['TR 0500pm-0615pm 01/17-05/02 CNS 303'],Marcela   Aliaga,28,14,14
Spring2017,31415,AY 0010,02,3.000,Introduction to Four-Field Anthropology,"[{'days': 'TR', 'times': '0630pm-0745pm', 'dates': '01/17-05/02', 'location': 'CNS 303'}]",['TR 0630pm-0745pm 01/17-05/02 CNS 303'],Marcela   Aliaga,28,18,10
Spring2017,31618,AY 0110,01,3.000,Biological Anthropology,"[{'days': 'W', 'times': '0200pm-0430pm', 'dates': '01/17-05/02', 'location': 'DMH 348'}]",['W 0200pm-0430pm 01/17-05/02 DMH 348'],Blaire   Hensley-Marschand,28,28,0
Spring2017,31872,AY 0110,02,3.000,Biological Anthropology,"[{'days': 'W', 'times': '0630pm-0900pm', 'dates': '01/17-05/02', 'location': 'DMH 349'}]",['W 0630pm-0900pm 01/17-05/02 DMH 349'],Blaire   Hensley-Marschand,28,28,0
Spring2017,31859,AY 0111,01,3.000,Cultural Anthropology,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/17-05/02', 'location': 'MCA 204'}]",['MR 1100am-1215pm 01/17-05/02 MCA 204'],Alfred   Babo,28,26,2
Spring2017,31860,AY 0111,02,3.000,Cultural Anthropology,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '01/17-05/02', 'location': 'MCA 102'}]",['MR 1230pm-0145pm 01/17-05/02 MCA 102'],Alfred   Babo,30,26,4
Spring2017,32652,AY 0111,OL1,3.000,Cultural Anthropology,[],[],Joseph A.  Wilson,20,23,-3
Spring2017,32142,AY 0115,01,3.000,Biomedical Anthropology,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '01/17-05/02', 'location': 'BNW 340'}]",['M 0630pm-0900pm 01/17-05/02 BNW 340'],Gary P.  Aronsen,24,21,3
Spring2017,32653,AY 0115,02,3.000,Biomedical Anthropology,"[{'days': 'T', 'times': '0630pm-0900pm', 'dates': '01/17-05/02', 'location': 'CNS 104'}]",['T 0630pm-0900pm 01/17-05/02 CNS 104'],Gary P.  Aronsen,24,17,7
Spring2017,32143,AY 0180,OL1,3.000,Grant Writing for the Social Sciences,[],[],David   Crawford,24,14,10
Spring2017,32654,AY 0189,01,3.000,Theory and Practive in Anthropology,"[{'days': 'W', 'times': '0800am-1030am', 'dates': '01/17-05/02', 'location': 'DMH 331'}]",['W 0800am-1030am 01/17-05/02 DMH 331'],David   Crawford,25,12,13
Spring2017,32144,AY 0200,01,3.000,Anthropological Research Methods,"[{'days': 'T', 'times': '0500pm-0730pm', 'dates': '01/17-05/02', 'location': 'CNS 5'}]",['T 0500pm-0730pm 01/17-05/02 CNS 5'],Alfred   Babo,16,7,9
