term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,cap,act,rem
Spring2016,37573,SW 0499,01,3.000,Algorithms,"[{'days': 'R', 'times': '0630pm-0900pm', 'dates': '01/19-05/03', 'location': 'BNW 127'}]",['R 0630pm-0900pm 01/19-05/03 BNW 127'],Wook-Sung   Yoo,11,3,8
Spring2016,37284,SW 0512,01,3.000,Web Development II with ASP.net,"[{'days': 'T', 'times': '1100am-0130pm', 'dates': '01/19-05/13', 'location': 'BNW 469'}]",['T 1100am-0130pm 01/19-05/13 BNW 469'],William F.  Guelakis,15,12,3
Spring2016,37845,SW 0518,01,3.000,Data Mining and Business Intelligence,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '01/25-05/13', 'location': 'BNW 137'}]",['M 0630pm-0900pm 01/25-05/13 BNW 137'],Frederick W.  Mis,15,9,6
Spring2016,37414,SW 0530,01,3.000,Introduction to Information Security,"[{'days': 'W', 'times': '0630pm-0900pm', 'dates': '01/20-05/13', 'location': 'MCA 102'}]",['W 0630pm-0900pm 01/20-05/13 MCA 102'],Mark D.  Ramsey,25,25,0
Spring2016,37141,SW 0550,01,3.000,Capstone Professional Project I,"[{'days': 'T', 'times': '0630pm-0900pm', 'dates': '01/19-05/13', 'location': 'BNW 469'}]",['T 0630pm-0900pm 01/19-05/13 BNW 469'],Wook-Sung   Yoo,15,3,12
Spring2016,38291,SW 0551,01,3.000,Capstone Professional Project II,"[{'days': 'T', 'times': '0630pm-0900pm', 'dates': '01/19-05/13', 'location': 'BNW 469'}]",['T 0630pm-0900pm 01/19-05/13 BNW 469'],Wook-Sung   Yoo,15,12,3
Spring2016,38292,SW 0596,01,3.000,Network Routing and Switching,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '01/25-05/13', 'location': 'MCA 112'}]",['M 0630pm-0900pm 01/25-05/13 MCA 112'],Raymond   Angelo,15,12,3
Spring2016,39018,SP 0110,A,3.000,Elementary Spanish I,"[{'days': 'MR', 'times': '0330pm-0420pm', 'dates': '01/19-05/03', 'location': 'DMH 350'}, {'days': 'W', 'times': '0400pm-0450pm', 'dates': '01/19-05/03', 'location': 'DMH 350'}]","['MR 0330pm-0420pm 01/19-05/03 DMH 350', 'W 0400pm-0450pm 01/19-05/03 DMH 350']",Sandra   Gizzi,18,10,8
Spring2016,38359,SP 0111,A,3.000,Elementary Spanish II,"[{'days': 'MR', 'times': '0930am-1020am', 'dates': '01/19-05/03', 'location': 'MCA 102'}, {'days': 'W', 'times': '0900am-0950am', 'dates': '01/19-05/03', 'location': 'MCA 102'}]","['MR 0930am-1020am 01/19-05/03 MCA 102', 'W 0900am-0950am 01/19-05/03 MCA 102']",Maria A.  Arce,18,18,0
Spring2016,38360,SP 0111,B,3.000,Elementary Spanish II,"[{'days': 'MWR', 'times': '0800am-0850am', 'dates': '01/19-05/03', 'location': 'MCA 102'}]",['MWR 0800am-0850am 01/19-05/03 MCA 102'],Maria A.  Arce,18,18,0
Spring2016,38361,SP 0111,C,3.000,Elementary Spanish II,"[{'days': 'MR', 'times': '0330pm-0420pm', 'dates': '01/19-05/03', 'location': 'MCA 107'}, {'days': 'W', 'times': '0400pm-0450pm', 'dates': '01/19-05/03', 'location': 'MCA 107'}]","['MR 0330pm-0420pm 01/19-05/03 MCA 107', 'W 0400pm-0450pm 01/19-05/03 MCA 107']",Alina   Zuniga,18,17,1
Spring2016,38362,SP 0111,D,3.000,Elementary Spanish II,"[{'days': 'MWR', 'times': '0500pm-0550pm', 'dates': '01/19-05/03', 'location': 'MCA 107'}]",['MWR 0500pm-0550pm 01/19-05/03 MCA 107'],Alina   Zuniga,18,16,2
Spring2016,38363,SP 0111,E,3.000,Elementary Spanish II,"[{'days': 'MWR', 'times': '0500pm-0550pm', 'dates': '01/19-05/03', 'location': 'BNW 253'}]",['MWR 0500pm-0550pm 01/19-05/03 BNW 253'],Christopher J.  Poulos,18,19,-1
Spring2016,38364,SP 0111,F,3.000,Elementary Spanish II,"[{'days': 'MWR', 'times': '0630pm-0720pm', 'dates': '01/19-05/03', 'location': 'BNW 253'}]",['MWR 0630pm-0720pm 01/19-05/03 BNW 253'],Christopher J.  Poulos,18,11,7
Spring2016,38449,SP 0111,H,3.000,Elementary Spanish II,"[{'days': 'TF', 'times': '1230pm-0120pm', 'dates': '01/19-05/03', 'location': 'CNS 104'}, {'days': 'W', 'times': '0100pm-0150pm', 'dates': '01/19-05/03', 'location': 'CNS 104'}]","['TF 1230pm-0120pm 01/19-05/03 CNS 104', 'W 0100pm-0150pm 01/19-05/03 CNS 104']",Jerelyn M.  Johnson,18,16,2
Spring2016,38455,SP 0111,I,3.000,Elementary Spanish II,"[{'days': 'MWR', 'times': '0500pm-0550pm', 'dates': '01/19-05/03', 'location': 'BNW 335'}]",['MWR 0500pm-0550pm 01/19-05/03 BNW 335'],Ana C.  DeLuca,18,17,1
Spring2016,38465,SP 0111,J,3.000,Elementary Spanish II,"[{'days': 'MWR', 'times': '0630pm-0720pm', 'dates': '01/19-05/03', 'location': 'BNW 335'}]",['MWR 0630pm-0720pm 01/19-05/03 BNW 335'],Ana C.  DeLuca,18,8,10
Spring2016,39019,SP 0210,A,3.000,Intermediate Spanish I,"[{'days': 'MR', 'times': '1100am-1150am', 'dates': '01/19-05/03', 'location': 'CNS 1'}, {'days': 'W', 'times': '1000am-1050am', 'dates': '01/19-05/03', 'location': 'CNS 1'}]","['MR 1100am-1150am 01/19-05/03 CNS 1', 'W 1000am-1050am 01/19-05/03 CNS 1']",Sergio   Adrada Rafael,18,18,0
Spring2016,39020,SP 0210,B,3.000,Intermediate Spanish I,"[{'days': 'MR', 'times': '1230pm-0120pm', 'dates': '01/19-05/03', 'location': 'DMH 149'}, {'days': 'W', 'times': '1200pm-1250pm', 'dates': '01/19-05/03', 'location': 'DMH 149'}]","['MR 1230pm-0120pm 01/19-05/03 DMH 149', 'W 1200pm-1250pm 01/19-05/03 DMH 149']",Sergio   Adrada Rafael,18,14,4
Spring2016,39021,SP 0210,C,3.000,Intermediate Spanish I,"[{'days': 'MR', 'times': '1230pm-0120pm', 'dates': '01/19-05/03', 'location': 'CNS 104'}, {'days': 'W', 'times': '1200pm-1250pm', 'dates': '01/19-05/03', 'location': 'CNS 104'}]","['MR 1230pm-0120pm 01/19-05/03 CNS 104', 'W 1200pm-1250pm 01/19-05/03 CNS 104']",M Covadonga   Arango-Martin,18,14,4
Spring2016,39022,SP 0210,D,3.000,Intermediate Spanish I,"[{'days': 'TWF', 'times': '1100am-1150am', 'dates': '01/19-05/03', 'location': 'CNS 301'}]",['TWF 1100am-1150am 01/19-05/03 CNS 301'],Imara L.  Hernandez,18,17,1
Spring2016,39023,SP 0210,E,3.000,Intermediate Spanish I,"[{'days': 'TF', 'times': '1230pm-0120pm', 'dates': '01/19-05/03', 'location': 'CNS 15'}, {'days': 'W', 'times': '0100pm-0150pm', 'dates': '01/19-05/03', 'location': 'CNS 15'}]","['TF 1230pm-0120pm 01/19-05/03 CNS 15', 'W 0100pm-0150pm 01/19-05/03 CNS 15']",Imara L.  Hernandez,18,17,1
Spring2016,39024,SP 0210,F,3.000,Intermediate Spanish I,"[{'days': 'TWF', 'times': '0800am-0850am', 'dates': '01/19-05/03', 'location': 'CNS 204'}]",['TWF 0800am-0850am 01/19-05/03 CNS 204'],Patricia V.  Morabito,18,17,1
