term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,cap,act,rem
Fall2017,71781,BI 0107L,06,0.000,Human Anatomy and Physiology Lab I,"[{'days': 'R', 'times': '0100pm-0350pm', 'dates': '09/05-12/11', 'location': 'BNW 240'}]",['R 0100pm-0350pm 09/05-12/11 BNW 240'],Christine   Earls,20,13,7
Fall2017,71949,BI 0107L,07,0.000,Human Anatomy and Physiology Lab I,"[{'days': 'F', 'times': '1000am-1250pm', 'dates': '09/05-12/11', 'location': 'BNW 240'}]",['F 1000am-1250pm 09/05-12/11 BNW 240'],Christine   Earls,20,19,1
Fall2017,72515,BI 0107L,08,0.000,Human Anatomy and Physiology Lab I,"[{'days': 'M', 'times': '0900am-1150am', 'dates': '09/05-12/11', 'location': 'BNW 240'}]",['M 0900am-1150am 09/05-12/11 BNW 240'],Anthony J.  DeCristofaro,20,19,1
Fall2017,72538,BI 0107L,09,0.000,Human Anatomy and Physiology Lab I,"[{'days': 'R', 'times': '0900am-1150am', 'dates': '09/05-12/11', 'location': 'BNW 240'}]",['R 0900am-1150am 09/05-12/11 BNW 240'],Debra S.  Sauer,20,20,0
Fall2017,72955,BI 0107L,10,0.000,Human Anatomy and Physiology Lab I,"[{'days': 'M', 'times': '0530pm-0820pm', 'dates': '09/05-12/11', 'location': 'BNW 240'}]",['M 0530pm-0820pm 09/05-12/11 BNW 240'],Sonal N.  Date,19,18,1
Fall2017,73011,BI 0107X,01,1.000,Human Anatomy and Physiology Lab I,"[{'days': 'T', 'times': '0900am-1150am', 'dates': '09/05-12/11', 'location': 'BNW 240'}]",['T 0900am-1150am 09/05-12/11 BNW 240'],Debra S.  Sauer,0,1,-1
Fall2017,71238,BI 0151,01,4.000,Elements of Microbiology,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '09/05-12/11', 'location': 'BNW 254A'}]",['MR 1230pm-0145pm 09/05-12/11 BNW 254A'],Christine R.  Rodriguez,40,37,3
Fall2017,72798,BI 0151,02,4.000,Elements of Microbiology,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '09/05-12/11', 'location': 'BNW 131'}]",['TF 1230pm-0145pm 09/05-12/11 BNW 131'],Christine R.  Rodriguez,40,41,-1
Fall2017,71514,BI 0151L,01,0.000,Elements of Microbiology Lab,"[{'days': 'M', 'times': '0200pm-0450pm', 'dates': '09/05-12/11', 'location': 'BNW 245'}]",['M 0200pm-0450pm 09/05-12/11 BNW 245'],Lori A.  John,16,15,1
Fall2017,71515,BI 0151L,02,0.000,Elements of Microbiology Lab,"[{'days': 'T', 'times': '0930am-1220pm', 'dates': '09/05-12/11', 'location': 'BNW 245'}]",['T 0930am-1220pm 09/05-12/11 BNW 245'],Christine R.  Rodriguez,16,16,0
