crn,catalog_id,section,credits,title,meetings,primary_instructor
37845,SW 0518,01,3.000,Data Mining and Business Intelligence,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '01/25-05/13', 'location': 'BNW 137'}]",Frederick W.  Mis
37414,SW 0530,01,3.000,Introduction to Information Security,"[{'days': 'W', 'times': '0630pm-0900pm', 'dates': '01/20-05/13', 'location': 'MCA 102'}]",Mark D.  Ramsey
37141,SW 0550,01,3.000,Capstone Professional Project I,"[{'days': 'T', 'times': '0630pm-0900pm', 'dates': '01/19-05/13', 'location': 'BNW 469'}]",Wook-Sung   Yoo
38291,SW 0551,01,3.000,Capstone Professional Project II,"[{'days': 'T', 'times': '0630pm-0900pm', 'dates': '01/19-05/13', 'location': 'BNW 469'}]",Wook-Sung   Yoo
38292,SW 0596,01,3.000,Network Routing and Switching,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '01/25-05/13', 'location': 'MCA 112'}]",Raymond   Angelo
39018,SP 0110,A,3.000,Elementary Spanish I,"[{'days': 'MR', 'times': '0330pm-0420pm', 'dates': '01/19-05/03', 'location': 'DMH 350'}, {'days': 'W', 'times': '0400pm-0450pm', 'dates': '01/19-05/03', 'location': 'DMH 350'}]",Sandra   Gizzi
38359,SP 0111,A,3.000,Elementary Spanish II,"[{'days': 'MR', 'times': '0930am-1020am', 'dates': '01/19-05/03', 'location': 'MCA 102'}, {'days': 'W', 'times': '0900am-0950am', 'dates': '01/19-05/03', 'location': 'MCA 102'}]",Maria A.  Arce
38360,SP 0111,B,3.000,Elementary Spanish II,"[{'days': 'MWR', 'times': '0800am-0850am', 'dates': '01/19-05/03', 'location': 'MCA 102'}]",Maria A.  Arce
38361,SP 0111,C,3.000,Elementary Spanish II,"[{'days': 'MR', 'times': '0330pm-0420pm', 'dates': '01/19-05/03', 'location': 'MCA 107'}, {'days': 'W', 'times': '0400pm-0450pm', 'dates': '01/19-05/03', 'location': 'MCA 107'}]",Alina   Zuniga
38362,SP 0111,D,3.000,Elementary Spanish II,"[{'days': 'MWR', 'times': '0500pm-0550pm', 'dates': '01/19-05/03', 'location': 'MCA 107'}]",Alina   Zuniga
38363,SP 0111,E,3.000,Elementary Spanish II,"[{'days': 'MWR', 'times': '0500pm-0550pm', 'dates': '01/19-05/03', 'location': 'BNW 253'}]",Christopher J.  Poulos
38364,SP 0111,F,3.000,Elementary Spanish II,"[{'days': 'MWR', 'times': '0630pm-0720pm', 'dates': '01/19-05/03', 'location': 'BNW 253'}]",Christopher J.  Poulos
38449,SP 0111,H,3.000,Elementary Spanish II,"[{'days': 'TF', 'times': '1230pm-0120pm', 'dates': '01/19-05/03', 'location': 'CNS 104'}, {'days': 'W', 'times': '0100pm-0150pm', 'dates': '01/19-05/03', 'location': 'CNS 104'}]",Jerelyn M.  Johnson
38455,SP 0111,I,3.000,Elementary Spanish II,"[{'days': 'MWR', 'times': '0500pm-0550pm', 'dates': '01/19-05/03', 'location': 'BNW 335'}]",Ana C.  DeLuca
38465,SP 0111,J,3.000,Elementary Spanish II,"[{'days': 'MWR', 'times': '0630pm-0720pm', 'dates': '01/19-05/03', 'location': 'BNW 335'}]",Ana C.  DeLuca
39019,SP 0210,A,3.000,Intermediate Spanish I,"[{'days': 'MR', 'times': '1100am-1150am', 'dates': '01/19-05/03', 'location': 'CNS 1'}, {'days': 'W', 'times': '1000am-1050am', 'dates': '01/19-05/03', 'location': 'CNS 1'}]",Sergio   Adrada Rafael
39020,SP 0210,B,3.000,Intermediate Spanish I,"[{'days': 'MR', 'times': '1230pm-0120pm', 'dates': '01/19-05/03', 'location': 'DMH 149'}, {'days': 'W', 'times': '1200pm-1250pm', 'dates': '01/19-05/03', 'location': 'DMH 149'}]",Sergio   Adrada Rafael
39021,SP 0210,C,3.000,Intermediate Spanish I,"[{'days': 'MR', 'times': '1230pm-0120pm', 'dates': '01/19-05/03', 'location': 'CNS 104'}, {'days': 'W', 'times': '1200pm-1250pm', 'dates': '01/19-05/03', 'location': 'CNS 104'}]",M Covadonga   Arango-Martin
39022,SP 0210,D,3.000,Intermediate Spanish I,"[{'days': 'TWF', 'times': '1100am-1150am', 'dates': '01/19-05/03', 'location': 'CNS 301'}]",Imara L.  Hernandez
39023,SP 0210,E,3.000,Intermediate Spanish I,"[{'days': 'TF', 'times': '1230pm-0120pm', 'dates': '01/19-05/03', 'location': 'CNS 15'}, {'days': 'W', 'times': '0100pm-0150pm', 'dates': '01/19-05/03', 'location': 'CNS 15'}]",Imara L.  Hernandez
39024,SP 0210,F,3.000,Intermediate Spanish I,"[{'days': 'TWF', 'times': '0800am-0850am', 'dates': '01/19-05/03', 'location': 'CNS 204'}]",Patricia V.  Morabito
39025,SP 0210,G,3.000,Intermediate Spanish I,"[{'days': 'TF', 'times': '0930am-1020am', 'dates': '01/19-05/03', 'location': 'CNS 204'}, {'days': 'W', 'times': '0900am-0950am', 'dates': '01/19-05/03', 'location': 'CNS 204'}]",Patricia V.  Morabito
39028,SP 0210,I,3.000,Intermediate Spanish I,"[{'days': 'TWF', 'times': '1100am-1150am', 'dates': '01/19-05/03', 'location': 'DMH 131'}]",Viviana G.  Rigo de Alonso
38092,SP 0211,A,3.000,Intermediate Spanish II,"[{'days': 'MR', 'times': '1230pm-0120pm', 'dates': '01/19-05/03', 'location': 'CNS 6'}, {'days': 'W', 'times': '1200pm-1250pm', 'dates': '01/19-05/03', 'location': 'CNS 6'}]",Javier F.  Campos
38365,SP 0211,B,3.000,Intermediate Spanish II,"[{'days': 'MR', 'times': '0930am-1020am', 'dates': '01/19-05/03', 'location': 'CNS 2'}, {'days': 'W', 'times': '0900am-0950am', 'dates': '01/19-05/03', 'location': 'CNS 2'}]",Marilin   Sarria
38366,SP 0211,C,3.000,Intermediate Spanish II,"[{'days': 'MR', 'times': '1100am-1150am', 'dates': '01/19-05/03', 'location': 'CNS 9'}, {'days': 'W', 'times': '1000am-1050am', 'dates': '01/19-05/03', 'location': 'CNS 9'}]",Marilin   Sarria
38367,SP 0211,D,3.000,Intermediate Spanish II,"[{'days': 'MWR', 'times': '0500pm-0550pm', 'dates': '01/19-05/03', 'location': 'CNS 2'}]",Xiomara A.  Brea
38368,SP 0211,E,3.000,Intermediate Spanish II,"[{'days': 'MWR', 'times': '0630pm-0720pm', 'dates': '01/19-05/03', 'location': 'CNS 2'}]",Xiomara A.  Brea
38457,SP 0211,G,3.000,Intermediate Spanish II,"[{'days': 'TF', 'times': '0200pm-0250pm', 'dates': '01/19-05/03', 'location': 'DMH 149'}, {'days': 'W', 'times': '0300pm-0350pm', 'dates': '01/19-05/03', 'location': 'DMH 149'}]",Noemi E.  Morriberon
38458,SP 0211,H,3.000,Intermediate Spanish II,"[{'days': 'TF', 'times': '0200pm-0250pm', 'dates': '01/19-05/03', 'location': 'CNS 15'}, {'days': 'W', 'times': '0300pm-0350pm', 'dates': '01/19-05/03', 'location': 'CNS 15'}]",Imara L.  Hernandez
38459,SP 0211,I,3.000,Intermediate Spanish II,"[{'days': 'TF', 'times': '0330pm-0420pm', 'dates': '01/19-05/03', 'location': 'CNS 202'}, {'days': 'W', 'times': '0400pm-0450pm', 'dates': '01/19-05/03', 'location': 'CNS 202'}]",Imara L.  Hernandez
38470,SP 0211,J,3.000,Intermediate Spanish II,"[{'days': 'MR', 'times': '1100am-1150am', 'dates': '01/19-05/03', 'location': 'MCA 102'}, {'days': 'W', 'times': '1000am-1050am', 'dates': '01/19-05/03', 'location': 'MCA 102'}]",Gabriela   Pavon
38471,SP 0211,K,3.000,Intermediate Spanish II,"[{'days': 'MR', 'times': '1230pm-0120pm', 'dates': '01/19-05/03', 'location': 'MCA 102'}, {'days': 'W', 'times': '1200pm-1250pm', 'dates': '01/19-05/03', 'location': 'MCA 102'}]",Gabriela   Pavon
38472,SP 0211,L,3.000,Intermediate Spanish II,"[{'days': 'MWR', 'times': '0200pm-0250pm', 'dates': '01/19-05/03', 'location': 'BNW 254'}]",M Covadonga   Arango-Martin
38473,SP 0211,M,3.000,Intermediate Spanish II,"[{'days': 'MR', 'times': '1100am-1150am', 'dates': '01/19-05/03', 'location': 'CNS 104'}, {'days': 'W', 'times': '1000am-1050am', 'dates': '01/19-05/03', 'location': 'CNS 104'}]",M Covadonga   Arango-Martin
38474,SP 0211,N,3.000,Intermediate Spanish II,"[{'days': 'TF', 'times': '1230pm-0120pm', 'dates': '01/19-05/03', 'location': 'CNS 9'}, {'days': 'W', 'times': '0100pm-0150pm', 'dates': '01/19-05/03', 'location': 'CNS 9'}]",Noemi E.  Morriberon
38515,SP 0220,A,3.000,Topics in Language and Culture,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '01/19-05/03', 'location': 'CNS 204'}]",Michelle Leigh  Farrell
37213,SP 0245,A,3.000,Analysis and Interpretation of Hispanic Literature,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '01/19-05/03', 'location': 'CNS 202'}]",Javier F.  Campos
38348,SP 0253,A,3.000,Spanish-American Civilization,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '01/19-05/03', 'location': 'CNS 202'}]",Javier F.  Campos
39161,SP 0253,B,3.000,Spanish-American Civilization,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '01/19-05/03', 'location': 'DMH 131'}]",Antonio   Martinez-Meraz
39029,SP 0357,A,3.000,The Spanish Novel,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '01/19-05/03', 'location': 'CNS 208'}]",Jerelyn M.  Johnson
39030,SP 0360,A,3.000,Dictatorships and Revolutionary Movements in Contemporary Latin America,"[{'days': 'W', 'times': '0200pm-0430pm', 'dates': '01/19-05/03', 'location': 'CNS 204'}]",Michelle Leigh  Farrell
39234,SP 0377,A,3.000,Internship,"[{'days': '\xa0', 'times': 'TBA', 'dates': '01/19-05/03', 'location': 'BY ARR '}]",Jerelyn M.  Johnson
37299,SP 0381,A,3.000,Coordinating Seminar,"[{'days': 'W', 'times': '0200pm-0430pm', 'dates': '01/19-05/03', 'location': 'CNS 104'}]",Sergio   Adrada Rafael
37563,SE 0099,01,0.000,Comprehensive Examination in Special Education,"[{'days': 'S', 'times': '0900am-0100pm', 'dates': '03/19-03/19', 'location': 'CNS 304'}]",Deborah L.  Edelman
37081,SE 0405,01,3.000,Exceptional Learners in the Mainstream,"[{'days': 'W', 'times': '0455pm-0655pm', 'dates': '01/20-05/11', 'location': 'CNS 303'}]",Diana   Friedlander
38331,SE 0411,01,3.000,Introduction to Individuals with Intellectual Disabilities,"[{'days': 'M', 'times': '0455pm-0655pm', 'dates': '01/25-05/09', 'location': 'CNS 104'}]",Alyson Margaret  Martin
37363,SE 0417,01,3.000,Introduction to Children and Youth with Social and Emotional Disturbances,"[{'days': 'T', 'times': '0455pm-0655pm', 'dates': '01/19-05/10', 'location': 'CNS 203'}]",Deborah L.  Edelman
